类型;类别ID;类别;名称;地址;城市;区县;经度;纬度;开放时间;图片;img
15;211;文化礼堂;左口乡龙源庄村文化礼堂;杭州市淳安县左口乡龙源庄村;杭州市;淳安县;119.073402;29.702012;春夏8:30-16:30秋冬9:00-17:00;/whyx/ef57b8e30baa4d5e898f34a7f7486168.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ef57b8e30baa4d5e898f34a7f7486168.jpg
2;199;文博场馆;蚕桑文化馆;杭州市余杭区瓶窑镇瓶窑老街展遗街;杭州市;余杭区;119.96789;30.39462;周二至周日08:30-17:00(周一闭馆）;/whyx/ef555d4d7f0a48859ce632c591753e67.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ef555d4d7f0a48859ce632c591753e67.png
15;211;文化礼堂;威坪镇驮岭脚村文化礼堂;杭州市淳安县威坪镇驮岭脚;杭州市;淳安县;118.783823;29.734746;08:00-17:00;/whyx/ef4de7b02e9d4663b5c07b3dab2ec712.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ef4de7b02e9d4663b5c07b3dab2ec712.jpg
15;211;文化礼堂;金峰乡安上村文化礼堂;杭州市淳安县金峰乡安上村;杭州市;淳安县;118.962839;29.715658;08:30-17:00;/whyx/eede8de8d2a943c290501ad83e396b4e.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/eede8de8d2a943c290501ad83e396b4e.jpg
2;199;文博场馆;长河革命历史纪念馆;杭州市滨江区长江中路26附近;杭州市;滨江区;120.194367;30.171016;09:00-16:30;/whyx/edfdb2104196454bb498a7498db02be2.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/edfdb2104196454bb498a7498db02be2.png
14;210;文体中心;龙门镇文体服务站;富阳区龙门镇龙门古镇景区;杭州市;富阳区;119.950754;29.900962;周一至周日8：30-16：30;/whyx/eda0d0d4ddfc4e05bc392a60c122618d.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/eda0d0d4ddfc4e05bc392a60c122618d.jpg
15;211;文化礼堂;威坪镇汪川村文化礼堂;杭州市淳安县威坪镇汪川村;杭州市;淳安县;118.783823;29.734746;08:00-17:00;/whyx/ed925f33cf574e30aa3f71eb647f7439.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ed925f33cf574e30aa3f71eb647f7439.jpg
16;212;文化家园;杨家牌楼社区文化家园;杭州市西湖区杨家牌楼126号;杭州市;西湖区;120.072462;30.243447;周一至周日8:30-17:00;/whyx/ed5ee38af0b94147b485f0be0921d435.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ed5ee38af0b94147b485f0be0921d435.jpg
2;199;文博场馆;临江兵团知青文化园;杭州市钱塘区临江街道纬五路4418号;杭州市;钱塘区;120.576764;30.297053;08:30-16:30;/whyx/ed59b39ba10f431b8fb0873dbdaede1e.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ed59b39ba10f431b8fb0873dbdaede1e.png
15;211;文化礼堂;屏门乡屏门村文化礼堂;杭州市淳安县屏门乡屏门村178号;杭州市;淳安县;119.037813;29.867079;08:00-17:30;/whyx/ed1943abcf18432abe8f57c68d5239a6.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ed1943abcf18432abe8f57c68d5239a6.jpg
4;201;非遗馆;竹上居竹刻工作室;杭州市余杭区百丈镇溪口村洋桥头33号;杭州市;余杭区;119.782968;30.478634;09:00-16:00;/whyx/ece3e2ede6ed420cad444384b679b43e.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ece3e2ede6ed420cad444384b679b43e.jpg
15;211;文化礼堂;仁和街道洛阳村文化礼堂;杭州市余杭区仁和街道洛阳村文化礼堂;杭州市;余杭区;120.081627,;30.414987;夏令时08:00-16:30 冬令时08:30-16:00;/whyx/ecd573eab7bd44d0b5d461ef500d39ef.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ecd573eab7bd44d0b5d461ef500d39ef.jpg
16;212;文化家园;海汇社区文化家园;余杭区五常街道余杭塘路与聚橙路交叉口万科星空6幢物业用房;杭州市;余杭区;120.025981;30.290751;周一至周五09:00-15:00;/whyx/ec6c5c9af60143a79f410968c1bf714a.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ec6c5c9af60143a79f410968c1bf714a.jpg
2;199;文博场馆;千鹤妇女教育基地;杭州市建德市梅城镇千鹤村下高自然村;杭州市;建德市;119.468725;29.539743;周二至周日8：30—16：30（闭馆前半个小时停止入馆）;/whyx/ec37931eed8c45328fb4439427eac915.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ec37931eed8c45328fb4439427eac915.png
16;212;文化家园;自在城西苑社区文化家园;杭州市西湖区三墩镇紫宣路与欣然街交叉口自在城西苑社区;杭州市;西湖区;120.068413;30.330436;周一至周日9:00-17:00;/whyx/eb875ae77f434f00a924803b10afca24.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/eb875ae77f434f00a924803b10afca24.jpg
1;198;农家书屋;杭州图书馆生活主题分馆;杭州市上城区浣纱路254号;杭州市;上城区;120.167752;30.254848;周二至周日9:00-17:30;/whyx/eafde7e4885246edb7f977897340eeb9.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/eafde7e4885246edb7f977897340eeb9.jpg
2;199;文博场馆;杭州眼镜博物馆;杭州市上城区延安路238号(龙翔桥地铁站D口步行350米);杭州市;上城区;120.166703;30.25345;周一至周日08:00-21:00;/whyx/ea4202fe504f40b6b4cad11df3043a9e.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ea4202fe504f40b6b4cad11df3043a9e.png
9;205;体育设施;永福社区福鼎家园健身苑点;余杭区五常街道同顺街福鼎家园小区;杭州市;余杭区;120.031597;30.286253;全天开放;/whyx/e9809598f0a0405ab4e8452a5e12f2e3.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e9809598f0a0405ab4e8452a5e12f2e3.jpg
2;199;文博场馆;杭州市临安区博物馆;杭州市临安区锦城街道锦桥社区天目路800号;杭州市;临安区;119.730415;30.22562;"周二到周日
5月1日至9月30日9:00-17:00(16:30停止入馆)
10月1日至4月30日9:00-16:30(16:00停止入馆)
周一闭馆（法定节假日除外）";/whyx/e977b5ee37af4052be34f62d44e6d48e.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e977b5ee37af4052be34f62d44e6d48e.jpg
16;212;文化家园;金禹社区文化家园;杭州市西湖区三墩镇中海金溪园12幢1楼;杭州市;西湖区;120.081797;30.337157;周一至周日9:00-16:30;/whyx/e93fc7f1036c444fbfa9943da9647ade.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e93fc7f1036c444fbfa9943da9647ade.jpg
15;211;文化礼堂;浪川乡峰川村文化礼堂;杭州市淳安县浪川乡峰川村;杭州市;淳安县;118.600586;29.470768;09:00-17:00;/whyx/e92315951e3c49449b77b7714bb8dd45.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e92315951e3c49449b77b7714bb8dd45.jpg
16;212;文化家园;紫金港社区文化家园;杭州市西湖区三墩镇圣苑小区16幢;杭州市;西湖区;120.095137;30.303099;周一至周日8:30-17:00;/whyx/e9172fa880f848ad8ff824db5ee21b27.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e9172fa880f848ad8ff824db5ee21b27.jpg
15;211;文化礼堂;里商乡塔山村文化礼堂;淳安县里商乡塔山村老影剧院;杭州市;淳安县;118.896261;29.46406;08:00-18:00;/whyx/e902e56e45fb4805a249f8bd274babda.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e902e56e45fb4805a249f8bd274babda.jpg
16;212;文化家园;珠儿潭社区文化家园;杭州市拱墅区湖墅街道信义坊小区16幢底层;杭州市;拱墅区;120.143119;30.294964;2019;/whyx/e8ef94abf8634e93be1e4c887f6bb358.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e8ef94abf8634e93be1e4c887f6bb358.jpg
13;209;老年活动中心;百岁坊村老年活动室;桐庐县分水镇百岁坊村村委;杭州市;桐庐县;119.361259;29.957333;周一至周日8:00--17:30;/whyx/e8b0a0b6989c4b299eebc1bcfc3c40b6.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e8b0a0b6989c4b299eebc1bcfc3c40b6.jpg
2;199;文博场馆;麻车埠村赵尔春纪念馆;杭州市临安区麻车埠村;杭州市;临安区;119.37508;30.071493;08:30-20:00;/whyx/e8894e9f292c4c1aab24b5e32f6f49ce.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e8894e9f292c4c1aab24b5e32f6f49ce.jpg
2;199;文博场馆;吴越历史文书博物馆;杭州市萧山区湘湖路47号;杭州市;萧山区;120.251415;30.16271;周二至周日 09:00-16:30;/whyx/e86af216c81147e8bd082b4521e495fc.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e86af216c81147e8bd082b4521e495fc.png
16;212;文化家园;莲花社区文化家园;杭州市西湖区古荡街道莲花社区莲花街97号山水人家香溪地1-1-101;杭州市;西湖区;120.10656;30.270717;周一至周日9:00-20:00;/whyx/e84c02b3ef154a4e9efa4a91da4848bf.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e84c02b3ef154a4e9efa4a91da4848bf.jpg
9;205;体育设施;西溪北苑健身苑;五常街道同顺街西溪北苑小区;杭州市;余杭区;120.021323;30.27289;全天开放;/whyx/e81f5ee7f4d641618c965f8bc1653156.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e81f5ee7f4d641618c965f8bc1653156.jpg
16;212;文化家园;梦湖社区文化家园;杭州市西湖区转塘街道珊瑚沙路76号;杭州市;西湖区;120.09449;30.165806;周一至周日8:30-16:30;/whyx/e7f62c2d191e4e538afb9e34aad65cf6.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e7f62c2d191e4e538afb9e34aad65cf6.jpg
1;198;农家书屋;望江街道图书分馆;杭州市上城区望江街道翡翠海岸1幢6号;杭州市;上城区;120.195373;30.239059;周一至周日09:00-17:00;/whyx/e7756e53b3f44b61a42036fbfd5e81bb.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e7756e53b3f44b61a42036fbfd5e81bb.jpg
16;212;文化家园;头蓬社区文化家园;杭州市钱塘区义蓬街道头蓬社区居委会;杭州市;钱塘区;120.508423;30.306761;08:00-16:30;/whyx/e72a1a59c35f4713839b6c0fde87b7e6.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e72a1a59c35f4713839b6c0fde87b7e6.jpg
16;212;文化家园;花园亭社区文化家园;杭州市西湖区启真名苑8幢5单元1楼;杭州市;西湖区;120.143488;30.273028;周一至周五8:30-17:30;/whyx/e706a09403ed4d2289c5d6bbc1ffc5b0.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e706a09403ed4d2289c5d6bbc1ffc5b0.jpg
18;213;文化服务点/阅览室;分水镇服务中心;分水镇玉华西路315号文体中心内;杭州市;桐庐县;119.434763;29.928127;8:30-17:00;/whyx/e6725b17cc044f3fac3e774600c51aaf.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e6725b17cc044f3fac3e774600c51aaf.jpg
13;209;老年活动中心;枫景园社区居家养老中心;杭州市上城区丁兰街道白马庄街33号;杭州市;上城区;120.241638;30.361452;08:00-16:30;/whyx/e63924a280cb4c64b17e33bd6aab21fa.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e63924a280cb4c64b17e33bd6aab21fa.jpg
16;212;文化家园;建隆社区文化家园;彭埠街道新塘路1113号建隆社区;杭州市;上城区;120.245093;30.298247;周一至周日9：00--16：30;/whyx/e5d751b7a2774139808f5c414535407e.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e5d751b7a2774139808f5c414535407e.jpg
2;199;文博场馆;临安昌化鸡血石博物馆;浙江省杭州市临安区锦城街道苕溪南街875号文澜苑;杭州市;临安区;119.718381;30.237533;周二至周日 5.1至9.30:9点至17点 10.1至4.30:9点至16.30;/whyx/e58f7bd1017049c2986fcc7fdfd3f4ca.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e58f7bd1017049c2986fcc7fdfd3f4ca.png
16;212;文化家园;文教社区文化家园;杭州市西湖区师苑新村内;杭州市;西湖区;120.137716;30.281899;"周一至周五8:30-11:30;14:00-17:30";/whyx/e5392efadaa341578dbe105293dab97f.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e5392efadaa341578dbe105293dab97f.jpg
1;198;农家书屋;分水镇后岩村农家书屋;杭州市桐庐县分水镇后岩村;杭州市;桐庐县;119.380552;29.972162;周一至周日08:30-16:30;/whyx/e511b366ae3a4d85a3c4c63e0c00e854.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e511b366ae3a4d85a3c4c63e0c00e854.jpg
2;199;文博场馆;杭州西湖龙井茶博物馆;杭州市西湖区葛衙庄路龙坞茶镇九街33号;杭州市;西湖区;120.056635;30.183269;周二至周日8:30—16:30;/whyx/e4ee11c164ef4dc3a4f37460fa0bcfb9.jpeg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e4ee11c164ef4dc3a4f37460fa0bcfb9.jpeg
2;199;文博场馆;后岩村文化体验馆;杭州市桐庐县分水镇后岩村;杭州市;桐庐县;119.380552;29.972162;周一至周日8:30-16:30;/whyx/e48eb24c58c44d73b12612d1d242bbbf.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e48eb24c58c44d73b12612d1d242bbbf.jpg
16;212;文化家园;黎明社区文化家园;杭州市上城区笕桥街道晟世黎明嘉苑一区;杭州市;上城区;120.222775;30.311488;周二至周日09:00-17:00;/whyx/e3b619249ef042b39b757eb876ba2d3f.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e3b619249ef042b39b757eb876ba2d3f.jpg
8;204;科技馆;中国杭州低碳科技馆;杭州市滨江区江汉路1888号;杭州市;滨江区;120.201967;30.209358;09:30-16:30;/whyx/e3a1c2eafe1943e187c7a50f8395cf29.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e3a1c2eafe1943e187c7a50f8395cf29.jpg
15;211;文化礼堂;瑶山乡琅坑源村文化礼堂;杭州市淳安县瑶山乡坑源村;杭州市;淳安县;119.058871;29.939058;周一至周日7:30-16:00;/whyx/e39947ce24a14f718bf52f2027c897c8.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e39947ce24a14f718bf52f2027c897c8.jpg
16;212;文化家园;棕榈湾社区文化家园;余杭区良渚街道棕榈湾一期物业;杭州市;余杭区;120.091204;30.33651;周一至周日08:30-17:30;/whyx/e33ab775d7b94c8d8fbfd6c0591a63e8.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e33ab775d7b94c8d8fbfd6c0591a63e8.jpg
15;211;文化礼堂;文昌镇光昌边村文化礼堂;杭州市淳安县文昌镇光昌边村;杭州市;淳安县;119.101967;29.757349;09:00-17:00;/whyx/e2cad25a039f4582a4c133d1e72061f8.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e2cad25a039f4582a4c133d1e72061f8.jpg
16;212;文化家园;和平苑社区文化家园;杭州市拱墅区文晖街道五里塘苑7幢底层;杭州市;拱墅区;120.173235;30.287994;周一至周五8:30-11:00；12:00-16:30;/whyx/e2c5afc1c0fa42afbfc12a4a577c5f8c.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e2c5afc1c0fa42afbfc12a4a577c5f8c.jpg
15;211;文化礼堂;余杭街道金星村文化礼堂;杭州市余杭区余杭街道金星村梅家桥星苑南1门(人行门);杭州市;余杭区;119.967817;30.266723;夏令时09:00-18:00 冬令时09:00-18:00;/whyx/e2b2174193f740b187d4f0529f177dac.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e2b2174193f740b187d4f0529f177dac.jpg
16;212;文化家园;大唐苑社区文化家园;杭州市上城区丁兰街道大唐苑社区上东领地小区4幢1单元底层;杭州市;上城区;120.226845;30.356424;09:00-17:00;/whyx/e2b07b762166490c8f12c59b9470c9ba.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e2b07b762166490c8f12c59b9470c9ba.jpg
16;212;文化家园;马市街社区文化家园;马市街178号;杭州市;上城区;120.175537;30.255737;09:00-18:00;/whyx/e24a54ecd4134371853073b8474d3614.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e24a54ecd4134371853073b8474d3614.jpg
12;208;儿童之家;黄湖镇王位山村儿童之家;杭州市余杭区黄湖镇王位山村26组浪河口51号对面;杭州市;余杭区;119.813255;30.462506;08:30-17:30;/whyx/e213d70ae8ef42a389be4f758e63a576.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e213d70ae8ef42a389be4f758e63a576.jpg
16;212;文化家园;余杭街道凤联社区文化家园;余杭区余杭街道碧景路58号;杭州市;余杭区;119.944584;30.259131;周一至周日08:30-12:00 13:30-16:30;/whyx/e1a5f5538e084e8da50bd374de64ab72.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e1a5f5538e084e8da50bd374de64ab72.jpg
16;212;文化家园;北山社区文化家园;余杭区闲林街道科嘉苑商铺1-6号;杭州市;余杭区;119.99692;30.221386;08:30-17:00;/whyx/e12cdec9c30d4befad70e2a62ea16f3c.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e12cdec9c30d4befad70e2a62ea16f3c.jpg
16;212;文化家园;金苑社区文化家园;杭州市富阳区富春街道金浦路409号;杭州市;富阳区;119.928624;30.062156;周一至周日8:00--17:00;/whyx/e0dfef1acb24462ea44bc72ea18ef849.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e0dfef1acb24462ea44bc72ea18ef849.jpg
7;203;美术馆;千岛湖艺术馆;杭州市淳安县千岛湖镇梦姑路378号;杭州市;淳安县;119.012397;29.592573;周一至周日9：00-17:00;/whyx/e0a090b8a8d24acea5300d3c9802a323.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e0a090b8a8d24acea5300d3c9802a323.jpg
15;211;文化礼堂;富文乡查林村文化礼堂;杭州市淳安县富文乡查林村;杭州市;淳安县;119.266107;29.663886;08:30-17:00;/whyx/e099e23d3648469db0cb86617027945e.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/e099e23d3648469db0cb86617027945e.jpg
15;211;文化礼堂;文昌镇丰茂村文化礼堂;杭州市淳安县文昌镇丰茂村;杭州市;淳安县;119.134654;29.732788;09:00-17:00;/whyx/dff3df4db76043e2af7e80dd49d0be14.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dff3df4db76043e2af7e80dd49d0be14.jpg
15;211;文化礼堂;余杭街道溪塔村文化礼堂;杭州市余杭区余杭街道溪塔村委旁;杭州市;余杭区;119.943832;30.28476;夏令时09:00-17:30 冬令时09:00-17:30;/whyx/dfd1121e7041457ca410f50cf78afaea.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dfd1121e7041457ca410f50cf78afaea.jpg
2;199;文博场馆;余杭区黄湖镇溪上印象馆;杭州市余杭区黄湖镇清波村迂前南路95号附近;杭州市;余杭区;119.809305;30.445893;08:30-16:30;/whyx/dfa8ec1453db42b291477f37bfa6ebf5.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dfa8ec1453db42b291477f37bfa6ebf5.jpg
13;209;老年活动中心;白云村居家养老服务中心;余杭区中泰街道白云村张家店;杭州市;余杭区;119.862417;30.220616;09:00-17:00;/whyx/df7f4e7bb4e1490986a3cf77b79db095.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/df7f4e7bb4e1490986a3cf77b79db095.jpg
11;207;青少年宫;杭州青少年活动中心;杭州市西湖区昭庆寺里街22号;杭州市;西湖区;120.154007;30.262708;09:00-16:30;/whyx/df6b90ffe6e141adbe77d02d6b9a6579.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/df6b90ffe6e141adbe77d02d6b9a6579.jpg
13;209;老年活动中心;里湖村老年活动中心;分水镇里湖村;杭州市;桐庐县;119.408151;29.90139;周一至周日8:00-16:00;/whyx/df17159b01ff4663b2f406356e72496f.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/df17159b01ff4663b2f406356e72496f.jpg
14;210;文体中心;翠苑街道综合文化站;杭州市西湖区塘苗路8号;杭州市;西湖区;120.123776;30.274174;周一至周日8:30-17:30;/whyx/ded9b6ed7f2d488db18fa362af04ddf1.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ded9b6ed7f2d488db18fa362af04ddf1.jpg
15;211;文化礼堂;石林镇富德村文化礼堂;杭州市淳安县石林镇富德村;杭州市;淳安县;119.085798;29.467917;08:00-18:00;/whyx/ded5537a93ef444585a13009042919e3.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/ded5537a93ef444585a13009042919e3.jpg
1;198;农家书屋;黄湖镇赐璧村农家书屋;杭州市余杭区黄湖镇赐璧村18组铜山头20号;杭州市;余杭区;119.832027;30.462274;周一至周日09:00-16:30;/whyx/dd55d3c8297146ae82aefff950eb3535.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dd55d3c8297146ae82aefff950eb3535.jpg
2;199;文博场馆;传梭博物馆;杭州市余杭区百丈镇溪口村洋桥头3号;杭州市;余杭区;119.775689;30.484838;周二至周日9:00-16:30（16:00停止入馆，16:15清场），周一闭馆（法定节假日除外）。;/whyx/dd2391b4f065420d8f2df798a6f825f4.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dd2391b4f065420d8f2df798a6f825f4.jpg
2;199;文博场馆;浙江省非遗文献馆;杭州市拱墅区金华路运河文化广场1号;杭州市;拱墅区;120.14133;30.317404;05:00-17:00;/whyx/dcbea86d3dac48b9ab77baaf3885cccd.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dcbea86d3dac48b9ab77baaf3885cccd.png
13;209;老年活动中心;景秀社区凯乐居老年活动室;一区23幢;杭州市;上城区;120.202404;30.266686;周一至周五上午9：00-11:30，下午14:00-16:30;/whyx/dc2c357ae6b245038a29b433b3155d9e.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dc2c357ae6b245038a29b433b3155d9e.jpg
2;199;文博场馆;杨乃武与小白菜奇案展示馆;杭州市余杭区天目山西路330号;杭州市;余杭区;119.968737;30.241513;周一至周日09:00-17:00;/whyx/dc10c278691e4fb9bd8b9c043152dfa5.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dc10c278691e4fb9bd8b9c043152dfa5.jpg
16;212;文化家园;沿山河社区文化家园;余杭区五常街道五常大道123号忆西溪酒店南侧;杭州市;余杭区;120.042882;30.246114;周一至周五09:00-16:00;/whyx/dbf619c272e54b2a94ca853d35c356a9.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dbf619c272e54b2a94ca853d35c356a9.jpg
16;212;文化家园;嘉绿苑社区文化家园;杭州市西湖区嘉绿名苑15幢底层;杭州市;西湖区;120.113583;30.280804;周一至周日9:00-17:00;/whyx/dbeabc09865444c98f00b821df6bac38.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dbeabc09865444c98f00b821df6bac38.jpg
15;211;文化礼堂;千岛湖镇进贤村文化礼堂;杭州市淳安县千岛湖镇进贤村;杭州市;淳安县;119.043944;29.687778;08:30-17:30;/whyx/dbccb75c82c741d28c884addbae77299.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dbccb75c82c741d28c884addbae77299.jpg
13;209;老年活动中心;孔家埭社区老年活动中心;孔家埭生态公园;杭州市;拱墅区;120.105911;30.32974;09:00-16:00;/whyx/dbc764d2c3504040b6d76a95399d0e4d.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/dbc764d2c3504040b6d76a95399d0e4d.jpg
15;211;文化礼堂;双浦镇小叔房村文化礼堂;杭州市西湖区双浦镇小叔房村村委西侧;杭州市;西湖区;120.1363;30.11432;周一至周日09:00-17:00;/whyx/db828ec994724c21b58c13f2a32b7402.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/db828ec994724c21b58c13f2a32b7402.jpg
15;211;文化礼堂;王阜乡新畈村文化礼堂;杭州市淳安县王阜乡新畈村;杭州市;淳安县;119.9459;29.902252;07:00-18:00;/whyx/db2c60fb2afa4038bc967f4102ff98c6.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/db2c60fb2afa4038bc967f4102ff98c6.jpg
2;199;文博场馆;中国茶叶博物馆;杭州市西湖区龙井路88号;杭州市;西湖区;120.120532;30.232381;周一至周日09:00-16:30;/whyx/db0dfd4fa3be4246a97ec83684151388.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/db0dfd4fa3be4246a97ec83684151388.png
16;212;文化家园;崇福社区文化家园;杭州市余杭区良渚街道顾家埠农居点;杭州市;余杭区;120.030302;30.284582;周一至周日08:30-17:30;/whyx/da2cc464325a4b85b55e8ce1a3298afc.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/da2cc464325a4b85b55e8ce1a3298afc.jpg
15;211;文化礼堂;仁和街道双陈村文化礼堂;杭州市余杭区仁和街道双陈村村委旁;杭州市;余杭区;120.1;30.4;夏令时08:00-16:30 冬令时08:30-16:00;/whyx/da11f3d0447a42f69f05e0956a8bbd73.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/da11f3d0447a42f69f05e0956a8bbd73.jpg
16;212;文化家园;春晖社区文化家园;杭州市上城区闸弄口街道三里亭苑二区15-1幢;杭州市;上城区;120.193817;30.29582;09:00-17:00;/whyx/d95f379952714fd69cd8e7aba807ed12.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/d95f379952714fd69cd8e7aba807ed12.jpg
16;212;文化家园;格畈社区文化家园;格畈社区党群服务中心3楼;杭州市;上城区;120.208753;30.321953;08:30-11:00;/whyx/d94afb619e9a45eab7b925f2d9d97cfe.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/d94afb619e9a45eab7b925f2d9d97cfe.jpg
3;200;文化活动室;河东社区文化活动室;杭州市拱墅区河东社区文化活动室;杭州市;拱墅区;120.1595115;30.28472651;周一至周五 9:00-17:09;/whyx/d89347b8b7d143deb3cb00eefb64122f.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/d89347b8b7d143deb3cb00eefb64122f.jpg
15;211;文化礼堂;仁和街道永泰村文化礼堂;杭州市余杭区仁和街道永泰村村委;杭州市;余杭区;120.088072;30.482662;夏令时08:00-17:30 冬令时08:00-17:00;/whyx/d7f5e63fa4d8435b83ba88fb3bf880e1.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/d7f5e63fa4d8435b83ba88fb3bf880e1.jpg
2;199;文博场馆;李可染画院楼塔艺术中心;杭州市萧山区楼塔镇义厅弄12号;杭州市;萧山区;120.1376;29.912222;8:30-11:30 ；13:00-16:00;/whyx/d7d93bdadfa14d819d9189422800ae18.png;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/d7d93bdadfa14d819d9189422800ae18.png
16;212;文化家园;锦溪社区文化家园;杭州市临安区锦南街道福兴街320号;杭州市;临安区;119.709295;30.213204;08:30-17:00;/whyx/d78947436ef647ca924f62ea9f1fd703.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx/d78947436ef647ca924f62ea9f1fd703.jpg
